original,std_col,created,reason,type,base_std,derived,grouping
총인구수,총인구수_std,True,robust_month_std,std,,,
1인가구수,1인가구수_std,True,robust_month_std,std,,,
야간상주지 변경 미추정 인구 수,야간상주지 변경 미추정 인구 수_std,True,robust_month_std,std,,,
야간상주지 변경횟수 평균,야간상주지 변경횟수 평균_std,True,robust_month_std,std,,,
"야간상주지 변경횟수: 4분위수, 25%","야간상주지 변경횟수: 4분위수, 25%_std",True,robust_month_std,std,,,
"야간상주지 변경횟수: 4분위수, 50%","야간상주지 변경횟수: 4분위수, 50%_std",True,robust_month_std,std,,,
"야간상주지 변경횟수: 4분위수, 75%","야간상주지 변경횟수: 4분위수, 75%_std",True,robust_month_std,std,,,
주간상주지 변경 미추정 인구수,주간상주지 변경 미추정 인구수_std,True,robust_month_std,std,,,
주간상주지 변경횟수 평균,주간상주지 변경횟수 평균_std,True,robust_month_std,std,,,
"주간상주지 변경횟수: 4분위수, 25%","주간상주지 변경횟수: 4분위수, 25%_std",True,robust_month_std,std,,,
"주간상주지 변경횟수: 4분위수, 50%","주간상주지 변경횟수: 4분위수, 50%_std",True,robust_month_std,std,,,
"주간상주지 변경횟수: 4분위수, 75%","주간상주지 변경횟수: 4분위수, 75%_std",True,robust_month_std,std,,,
출근 소요시간 미추정 인구수,출근 소요시간 미추정 인구수_std,True,robust_month_std,std,,,
평균 출근 소요시간 평균,평균 출근 소요시간 평균_std,True,robust_month_std,std,,,
"평균 출근 소요시간: 4분위수, 25%","평균 출근 소요시간: 4분위수, 25%_std",True,robust_month_std,std,,,
"평균 출근 소요시간: 4분위수, 50%","평균 출근 소요시간: 4분위수, 50%_std",True,robust_month_std,std,,,
"평균 출근 소요시간: 4분위수, 75%","평균 출근 소요시간: 4분위수, 75%_std",True,robust_month_std,std,,,
근무시간 미추정 인구수,근무시간 미추정 인구수_std,True,robust_month_std,std,,,
평균 근무시간 평균,평균 근무시간 평균_std,True,robust_month_std,std,,,
"평균 근무시간: 4분위수, 25%","평균 근무시간: 4분위수, 25%_std",True,robust_month_std,std,,,
"평균 근무시간: 4분위수, 50%","평균 근무시간: 4분위수, 50%_std",True,robust_month_std,std,,,
"평균 근무시간: 4분위수, 75%","평균 근무시간: 4분위수, 75%_std",True,robust_month_std,std,,,
소액결재 비사용 인구수,소액결재 비사용 인구수_std,True,robust_month_std,std,,,
소액결재 사용횟수 평균,소액결재 사용횟수 평균_std,True,robust_month_std,std,,,
"소액결재 사용횟수: 4분위수, 25%","소액결재 사용횟수: 4분위수, 25%_std",True,robust_month_std,std,,,
"소액결재 사용횟수: 4분위수, 50%","소액결재 사용횟수: 4분위수, 50%_std",True,robust_month_std,std,,,
"소액결재 사용횟수: 4분위수, 75%","소액결재 사용횟수: 4분위수, 75%_std",True,robust_month_std,std,,,
소액결재 사용 금액 없는 인구수,소액결재 사용 금액 없는 인구수_std,True,robust_month_std,std,,,
소액결재 사용금액 평균,소액결재 사용금액 평균_std,True,robust_month_std,std,,,
"소액결재 사용금액: 4분위수, 25%","소액결재 사용금액: 4분위수, 25%_std",True,robust_month_std,std,,,
"소액결재 사용금액: 4분위수, 50%","소액결재 사용금액: 4분위수, 50%_std",True,robust_month_std,std,,,
"소액결재 사용금액: 4분위수, 75%","소액결재 사용금액: 4분위수, 75%_std",True,robust_month_std,std,,,
최근 3개월 내 요금 연체 비율,최근 3개월 내 요금 연체 비율_std,True,robust_month_std,std,,,
카카오톡 비사용 인구수,카카오톡 비사용 인구수_std,True,robust_month_std,std,,,
SNS 사용횟수,SNS 사용횟수_std,True,robust_month_std,std,,,
"SNS 사용횟수: 4분위수, 25%","SNS 사용횟수: 4분위수, 25%_std",True,robust_month_std,std,,,
"SNS 사용횟수: 4분위수, 50%","SNS 사용횟수: 4분위수, 50%_std",True,robust_month_std,std,,,
"SNS 사용횟수: 4분위수, 75%","SNS 사용횟수: 4분위수, 75%_std",True,robust_month_std,std,,,
평균 통화량,평균 통화량_std,True,robust_month_std,std,,,
"평균 통화량: 4분위수, 25%","평균 통화량: 4분위수, 25%_std",True,robust_month_std,std,,,
"평균 통화량: 4분위수, 50%","평균 통화량: 4분위수, 50%_std",True,robust_month_std,std,,,
"평균 통화량: 4분위수, 75%","평균 통화량: 4분위수, 75%_std",True,robust_month_std,std,,,
평균 문자량,평균 문자량_std,True,robust_month_std,std,,,
"평균 문자량: 4분위수, 25%","평균 문자량: 4분위수, 25%_std",True,robust_month_std,std,,,
"평균 문자량: 4분위수, 50%","평균 문자량: 4분위수, 50%_std",True,robust_month_std,std,,,
"평균 문자량: 4분위수, 75%","평균 문자량: 4분위수, 75%_std",True,robust_month_std,std,,,
평균 통화대상자 수,평균 통화대상자 수_std,True,robust_month_std,std,,,
"평균 통화대상자 수: 4분위수, 25%","평균 통화대상자 수: 4분위수, 25%_std",True,robust_month_std,std,,,
"평균 통화대상자 수: 4분위수, 50%","평균 통화대상자 수: 4분위수, 50%_std",True,robust_month_std,std,,,
"평균 통화대상자 수: 4분위수, 75%","평균 통화대상자 수: 4분위수, 75%_std",True,robust_month_std,std,,,
평균 문자대상자 수,평균 문자대상자 수_std,True,robust_month_std,std,,,
"평균 문자대상자 수: 4분위수, 25%","평균 문자대상자 수: 4분위수, 25%_std",True,robust_month_std,std,,,
"평균 문자대상자 수: 4분위수, 50%","평균 문자대상자 수: 4분위수, 50%_std",True,robust_month_std,std,,,
"평균 문자대상자 수: 4분위수, 75%","평균 문자대상자 수: 4분위수, 75%_std",True,robust_month_std,std,,,
데이터 사용량,데이터 사용량_std,True,robust_month_std,std,,,
"데이터 사용량: 4분위수, 25%","데이터 사용량: 4분위수, 25%_std",True,robust_month_std,std,,,
"데이터 사용량: 4분위수, 50%","데이터 사용량: 4분위수, 50%_std",True,robust_month_std,std,,,
"데이터 사용량: 4분위수, 75%","데이터 사용량: 4분위수, 75%_std",True,robust_month_std,std,,,
평일 총 이동 횟수 미추정 인구수,평일 총 이동 횟수 미추정 인구수_std,True,robust_month_std,std,,,
평일 총 이동 횟수,평일 총 이동 횟수_std,True,robust_month_std,std,,,
"평일 총 이동 횟수: 4분위수, 25%","평일 총 이동 횟수: 4분위수, 25%_std",True,robust_month_std,std,,,
"평일 총 이동 횟수: 4분위수, 50%","평일 총 이동 횟수: 4분위수, 50%_std",True,robust_month_std,std,,,
"평일 총 이동 횟수: 4분위수, 75%","평일 총 이동 횟수: 4분위수, 75%_std",True,robust_month_std,std,,,
휴일 이동 미추정 인구수,휴일 이동 미추정 인구수_std,True,robust_month_std,std,,,
휴일 총 이동 횟수 평균,휴일 총 이동 횟수 평균_std,True,robust_month_std,std,,,
"휴일 총 이동 횟수: 4분위수, 25%","휴일 총 이동 횟수: 4분위수, 25%_std",True,robust_month_std,std,,,
"휴일 총 이동 횟수: 4분위수, 50%","휴일 총 이동 횟수: 4분위수, 50%_std",True,robust_month_std,std,,,
"휴일 총 이동 횟수: 4분위수, 75%","휴일 총 이동 횟수: 4분위수, 75%_std",True,robust_month_std,std,,,
집 추정 위치 평일 총 체류시간 미추정 인구수,집 추정 위치 평일 총 체류시간 미추정 인구수_std,True,robust_month_std,std,,,
집 추정 위치 평일 총 체류시간,집 추정 위치 평일 총 체류시간_std,True,robust_month_std,std,,,
"집 추정 위치 평일 총 체류시간: 4분위수, 25%","집 추정 위치 평일 총 체류시간: 4분위수, 25%_std",True,robust_month_std,std,,,
"집 추정 위치 평일 총 체류시간: 4분위수, 50%","집 추정 위치 평일 총 체류시간: 4분위수, 50%_std",True,robust_month_std,std,,,
"집 추정 위치 평일 총 체류시간: 4분위수, 75%","집 추정 위치 평일 총 체류시간: 4분위수, 75%_std",True,robust_month_std,std,,,
집 추정 위치 휴일 총 체류시간 미추정 인구수,집 추정 위치 휴일 총 체류시간 미추정 인구수_std,True,robust_month_std,std,,,
집 추정 위치 휴일 총 체류시간,집 추정 위치 휴일 총 체류시간_std,True,robust_month_std,std,,,
"집 추정 위치 휴일 총 체류시간: 4분위수, 25%","집 추정 위치 휴일 총 체류시간: 4분위수, 25%_std",True,robust_month_std,std,,,
"집 추정 위치 휴일 총 체류시간: 4분위수, 50%","집 추정 위치 휴일 총 체류시간: 4분위수, 50%_std",True,robust_month_std,std,,,
