출처,복지사업ID,복지사업명,설명,소관기관,대표연락처,온라인신청,주소,시작일,종료일,태그,지원대상,서비스내용,신청방법,필요서류,관심주제,대상특성,생애주기,기준,지원범위,지원주기,오프라인,대리 신청 가능,지급 방식,지원가능한 나이
지자체,WLF00006125,관악구 청년 어학·자격시험 응시료 지원,관악구 거주 만19~39세 미취업청년에게 어학·자격시험 응시료를 지원을 통해 취업준비비용 부담을 완화하고 취업역량을 강화하여 취업률 향상을 도모하고자 함, 서울특별시 관악구 청년문화국 청년정책과,,N,서울특별시 관악구,20240601,19700101,,청년,"일자리,서민금융, 현금지급","인터넷, 본인",,"일자리,서민금융",,청년,해당없음,해당없음(전체가구),년,N,N,현금지급,
지자체,WLF00004791,4차산업칼리지 청년인턴 지원사업,4차산업혁명 시대를 맞아 핵심분야인 AI교육과정을 운영하여 수료생들을 취업연계하여 청년 일자리 창출에 기여하고자 함, 서울특별시 서초구 밝은미래국 아동청년과,,,서울특별시 서초구,20210501,19700101,,청년,"서민금융,일자리, 현금지급","우편,인터넷, 본인",,"서민금융,일자리",,청년,해당없음,해당없음(전체가구),분기,N,N,현금지급,
지자체,BOK00000992,삼성 무지개(무료지원개안)사업,"삼성디스플레이에서 한국실명예방재단과 협력하여 사시, 안검내반(눈썹찔림증), 백내장, 녹내장, 망막질환, 시력 이상 등 안과 질환으로 치료비 지원이 필요한 취약계층 아동·청소년 환자들을 대상으로 치료 관련 검사비와 수술비를 지원합니다. ",삼성디스플레이(주),,, ,20250728,20260727,,"저소득,한부모·조손,장애인,다문화·탈북민, 청소년,아동",신체건강,,,신체건강,"저소득,한부모·조손,장애인,다문화·탈북민","청소년,아동",,,,N,Y,,
지자체,WLF00002615,장애인활동지원 구비추가 사업,"신체적·정신적 장애 등의 사유로 혼자서 일상생활과 사회생활을 영위하기 어려운 최중증장애인에게 활동지원급여 구 추가사업을 통해 자립생활을 지원하여 생활의 안정을 제공하고 장애인의 삶의 질을 높이고자 함
", 서울특별시 마포구 복지동행국 장애인복지과,,N,서울특별시 마포구,20220101,19700101,,"장애인, 아동,노년,청소년,중장년,청년",전자바우처(바우처),"방문, 대리인(배우자, 친족, 관계인),본인",,,장애인,"아동,노년,청소년,중장년,청년",,해당없음(전체가구),월,Y,Y,전자바우처(바우처),
지자체,WLF00004789,광진아이 첫돌사진 촬영비 지원사업,저출생 시대에 아기탄생을 지역사회가 함께 축하하여 출생 친화적 분위기 조성, 서울특별시 광진구 복지국 가정복지과,,,서울특별시 광진구,20220117,19700101,,"영유아,임신 · 출산","서민금융,임신·출산, 현금지급","방문, 본인,대리인(배우자, 친족, 관계인)",,"서민금융,임신·출산",,"영유아,임신 · 출산",해당없음,해당없음(전체가구),1회성,Y,Y,현금지급,
지자체,WLF00002818,장애인 편익증진,장애인이 생활함에 있어 안전하고 편리하게 시설 및 설비를 이용하고 정보에 접근하도록 보장, 서울특별시 금천구 복지가족국 어르신장애인과,,N,서울특별시 금천구,20130101,19700101,,장애인,기타,,,,장애인,,,해당없음(전체가구),월,N,Y,기타,
지자체,WLF00002455, 출산축하 유아용품 지원사업 ,아기를 출산한 가정에 출산 축하 유아용품을 지급함으로써 출생아들의 밝고 건강한 성장을 지원하고 작은 기쁨을 증대, 서울특별시 동대문구 주민복지국 가족정책과,,N,서울특별시 동대문구,20160401,19700101,,"영유아,임신 · 출산","임신·출산, 현물지급","방문, 대리인(배우자, 친족, 관계인)",,임신·출산,,"영유아,임신 · 출산",해당없음,해당없음(전체가구),1회성,Y,Y,현물지급,
지자체,WLF00002498,저소득주민 국민건강보험료 지원,저소득 주민에게 국민건강보험료 및 장기요양보험료를 지원함으로써 구민의 건강증진과 사회복지 향상을 도모함을 목적으로 함, 서울특별시 종로구 복지경제국 사회복지과,,N,서울특별시 종로구,20080101,19700101,,"장애인,한부모·조손, 중장년,노년, 건강보험료 월 납입금액 (장기요양보험료 포함)",기타,"방문, 본인",,,"장애인,한부모·조손","중장년,노년",건강보험료 월 납입금액 (장기요양보험료 포함),"독거노인 가구,한부모 가구,1인 가구",월,Y,N,기타,
지자체,WLF00002618,저소득주민 국민건강보험료 등 지원,"노령 등으로 인하여 생활에 어려움을 겪고 있는 저소득주민에게 국민건강보험료 및 노인장기요양보험료를 지원함으로써 구민들의 건강증진과 복지 향상을 도모. 
", 서울특별시 강서구 생활복지국 생활보장과,,N,서울특별시 강서구,20140101,19700101,,"장애인, 건강보험료 월 납입금액 (장기요양보험료 제외)","서민금융, 현금지급","방문, 대리인(배우자, 친족, 관계인),본인",,서민금융,장애인,,건강보험료 월 납입금액 (장기요양보험료 제외),해당없음(전체가구),월,Y,Y,현금지급,
지자체,WLF00002643,발달장애인 주간활동서비스(구비지원),"성인발달장애인(지적·자폐성 장애인)에게 평일 낮 시간(09~18시)에 취미·학습·체육·직업 등 다양한 분야의 활동기회를 제공함으로써, 발달장애인의 자립생활을 지원하고 사회참여를 증진하기 위함", 서울특별시 광진구 복지국 사회복지장애인과,,N,서울특별시 광진구,20180701,19700101,,"장애인, 중장년,노년,청년",기타,"방문, 본인",,,장애인,"중장년,노년,청년",해당없음,해당없음(전체가구),년,Y,N,기타,
