서비스ID,서비스명,서비스 요약,상세 링크,시도명,시군구명,담당부서명,신청방법,지원주기,지급방식,생애주기,대상특성,관심주제,조회수,최종수정일
WLF00006172,부산광역시 서구 고교신입생 교복구입비 지원 사업,학부모의 경제적 부담 경감을 통해 교육의 공공성 강화 및 명품 교육도시 실현,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006172&wlfareInfoReldBztpCd=02,부산광역시,서구,부산광역시 서구 미래전략국 교육진흥과,"방문, 인터넷",1회성,현금지급,청소년,,"서민금융, 교육",55,20250919
WLF00005696,청년 전월세보증금 대출이자 지원사업," 목돈 마련이 어려운 무주택 청년들의 높은 주거비 부담 경감을 위해 임차보증금 대출이자를
 지원하여 청년들의 주거 안정 및 정주 여건 향상",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005696&wlfareInfoReldBztpCd=02,경상북도,구미시,경상북도 구미시 미래교육돌봄국 인구청년과,"인터넷, 방문",수시,현금대여(융자),청년,,,13367,20250919
WLF00006171,서구 암환자 의료비 지원,저소득 고령 암환자에게 의료비를 지원하여 경제적 부담 경감 및 치료 접근성을 높여 암 사망률 개선 등 건강지표향상 추진,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006171&wlfareInfoReldBztpCd=02,부산광역시,서구,부산광역시 서구 보건소 보건행정과,방문,1회성,현금지급,노년,,"서민금융, 신체건강",106,20250918
WLF00006170,기후동행카드 다자녀·저소득층 할인제도 운영,"- 출산 친화 분위기 조성 및 교통복지 실현을 위해 맞춤형 할인지원 필요
- 다자녀부모 및 저소득층에 기후동행카드 권종당 최대 17천원 할인",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006170&wlfareInfoReldBztpCd=02,서울특별시,,서울특별시 교통실 교통기획관 교통정책과,인터넷,부정기,기타,,다자녀,,159,20250918
WLF00004946,대전형 양육기본수당,"저출산 심화로 출산 장려, 출생 초기 양육비용 부담 경감으로 사회적 책임을 강화하고 질 높은 양육 서비스 및 친화적인 분위기 조성",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004946&wlfareInfoReldBztpCd=02,대전광역시,,대전광역시 복지국 아동보육과,방문,월,현금지급,영유아,,서민금융,6867,20250918
WLF00006112,해운대구 청소년 장학금 지원사업,저소득 청소년의 학업증진을 위한 장학금 지급 사업,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006112&wlfareInfoReldBztpCd=02,부산광역시,해운대구,부산광역시 해운대구 생활복지국 가족복지과,방문,1회성,현금지급,청소년,"한부모·조손, 저소득",서민금융,685,20250912
WLF00002178,다둥이 차량렌탈 지원사업,다자녀 출산가정에 나들이 이동수단 서비스를 제공하여 여가활동 및 생활편의를 돕고 출산장려 분위기를 확산하기 위함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002178&wlfareInfoReldBztpCd=02,대구광역시,북구,대구광역시 북구 보건소 건강증진과,"방문, 인터넷",1회성,현물대여,"영유아, 임신 · 출산, 중장년",다자녀,"서민금융, 임신·출산",2007,20250912
WLF00005687,학생 교육비 '꿈드리미' 지원 ,"

 (학생)학생의 원활한 교육 활동 지원을 통한 교육의 공공성, 공정성을 강화 
 (학부모) 교육경비 지원으로 학부모의 경제적 부담 완화 및 교육복지 만족도 제고     
 (지역사회) 꿈드리미 바우처카드의 지역 내 사용으로 지역경제 활성화 견인화 
",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005687&wlfareInfoReldBztpCd=02,광주광역시,광주광역시교육청,광주광역시교육청 행정국 조직복지과,모바일앱,년,전자바우처(바우처),"아동, 청소년","다자녀, 다문화·탈북민",교육,53101,20250909
WLF00005691,청년월세 지원사업, 청년들의 주거비 부담 완화를 통해 안정적인 지역 정착과 주거환경 확보를 유도하여 안정적으로 사회에 진입할 수 있도록 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005691&wlfareInfoReldBztpCd=02,경상북도,구미시,경상북도 구미시 미래교육돌봄국 인구청년과,방문,월,현금지급,청년,,서민금융,48668,20250909
WLF00006169,교통약자 이동지원 확대 사업,"1. 교통약자 이동편의 증진 및 이동권 보장
2. 저출산·고령화에 따른 인구감소·지역소멸 위기 대응
3. 바우처 택시 활용에 따른 지역운송사업 및 지역경제 활성화  ",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006169&wlfareInfoReldBztpCd=02,울산광역시,,울산광역시 교통국 교통기획과,"팩스, 전화",수시,"감면, 기타","영유아, 노년",,서민금융,582,20250904
