서비스ID,서비스명,서비스 요약,상세 링크,소관기관,대표연락처,신청가능여부,주소,태그,시작일,종료일,진행상태,INTRS_THEMA_CD,FMLY_CIRC_CD,BKJR_LFTM_CYC_CD,WLFARE_INFO_AGGRP_CD,카테고리,사업상태,사업기간,연락처,이메일,사업목적,지원대상,지원내용,신청방법,제출서류
BOK00001001,파킨슨루게릭 환자 의료비 지원사업,파킨슨병과 루게릭병을 진단받은 대상자가 시의적절한 치료를 통해 건강을 회복하고 당면한 가정 내 경제적 어려움을 극복할 수 있도록 돕고자 합니다.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=BOK00001001&wlfareInfoReldBztpCd=03,사회복지법인 밀알복지재단,,, ,,20250901,20260831,진행중,"생활지원,신체건강","다자녀,저소득,한부모·조손,장애인,다문화·탈북민","중장년,노년,청년",,생계지원,,,,,파킨슨병과 루게릭병을 진단받은 대상자가 시의적절한 치료를 통해 건강을 회복하고 당면한 가정 내 경제적 어려움을 극복할 수 있도록 돕고자 합니다.,파킨슨 혹은 루게릭병을 진단받은 중위소득 100% 미만의 내국인,"의료비 및 생계비 지원(1인 최대 500만원 한도 내)

- 의료비
1) 외래진료비, 검사비, 입원치료비, 약제비
2) 수술 및 시술비
3) 의료소모품 및 의료보조기구 구입비
4) 기타 치료를 목적으로 하는 비용

- 생계비 (※생계비 단독신청 불가)",첨부파일 다운로드 후 신청서 작성하여 이메일(miral9135@miral.org) 접수,"1) 사업신청서 1부, 개인정보 수집·이용·제공동의서 1부 (※사진 원본파일 제출)
2) 주민등록등본 1부
3) 소득증명서류 1부(수급자증명서, 차상위계층증명서, 건강보험료납입증명서 中 택1)
4) 주거증명서류 1부(임대차계약서, 무료임대확인서, 등기부등본 中 택1)
5) 의료증명서류 1부(의료진단·소견서) *해당사항 있을 시 장애인증명서 혹은 복지카드 앞뒤 사본 추가 제출
6) 선택서류 
 - 세대 구성원 중 소득이 있거나 질병 및 장애가 있을 경우 증빙서류 제출(3. 소득증명서류, 5. 의료증명서류)
 - 부채증명원 1부(부채가 있는 경우)
※ 모든 제출서류는 최근 3개월 이내 발급 서류만 인정"
BOK00000995,mom 편한 가족앨범 촬영 지원사업,"한부모가정에게 가족사진 촬영 기회를 제공함으로 가족에게 특별한 추억을 선물하고, 구성원 간 가족관계 및 정서적 유대관계 증진을 목적으로 합니다. ",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=BOK00000995&wlfareInfoReldBztpCd=03,홀트대전한부모가족복지상담소,,, ,,20250811,20251130,진행중,,한부모·조손,"영유아,아동",,아동지원,,,,,"한부모가정에게 가족사진 촬영 기회를 제공함으로 가족에게 특별한 추억을 선물하고, 구성원 간 가족관계 및 정서적 유대관계 증진을 목적으로 합니다.","-참여인원 : 50가정
-대상 : 만 18세 이하의 아동을 양육중인 한부모(기준중위소득 150%이하인 자에 한함)","1. 가족사진 패키지
 ▪스튜디오 사진촬영, 액자 1개, 앨범 1개
  ▪캐논코리아 후원물품(캐논 포토프린터기 1대, 인화지 100매)","1. QR을 통해 서비스 신청
2. 홀트아동복지회 홈페이지에서 신청","1. 신청서 1부
 ▪ 개인정보 수입·이용 동의서 1부
 ▪ 초상권 및 개인정보 사용동의서 1부
2. 혼인관계증명서 혹은 한부모수급자증명서 1부
3. 주민등록등본 1부
4. 소득증빙서류
  ▪수급자증명서 혹은 건강보험료 납부 내역서 1부"
BOK00000994,홀트대전한부모가족복지상담소 소개 및 사업 안내,지역 내 한부모 가족의 심리적 안정과 복지향상을 위해 한부모 생애주기별 맞춤복지 서비스와 사회적 통합 및 성장촉진을 위한 지원합니다.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=BOK00000994&wlfareInfoReldBztpCd=03,홀트대전한부모가족복지상담소,,, ,,20250801,20251231,진행중,"보호·돌봄,안전·위기,임신·출산","한부모·조손,저소득","임신 · 출산,영유아,아동",,일자리,,,,,지역 내 한부모 가족의 심리적 안정과 복지향상을 위해 한부모 생애주기별 맞춤복지 서비스와 사회적 통합 및 성장촉진을 위한 지원합니다.,"대전·충남북에 거주하며, 출산을 앞둔 20주 이상의 한부모와 만 18세 미만의 자녀를 양육중인 한부모, 장기체류비자를 소지한 다문화가정의 위기한부모","1. 임신·출산지원사업
 - 출산·양육 필수 물품 지원
 -심리적 안정과 정서지원
 -한부모긴급지원

2. 양육·돌봄지원사업
 -양육비 지원 및 돌봄서비스
 -위기가정지원사업
 -건강한 가정환경 조성

3. 교육·자립지원사업
 -한부모역량강화교육지원사업
 -교육비 및 교육물품 지원사업
 -자립을 위한 교육훈련 지원사업

4. 심리·상담지원사업
 -개인·가족 심리상담 지원사업
 -온·오프라인 정보 제공 상담지원사업

5. 자조모임
 -전문가 특강/워크숍/공동체 활동

6. 인식개선 캠페인
 -올바른 이해를 위한 홍보·교육
 -사회적 연대와 인식개선 캠페인",전화 및 메일 등 유선상담 혹은 QR 서비스 신청 부탁드립니다.,"1. 혼인관계증명서(상세)
2. 주민등록등본
3.소득증빙서류(수급자 증명서, 올해 건강보험료 납부 내역서)"
BOK00000992,삼성 무지개(무료지원개안)사업,"삼성디스플레이에서 한국실명예방재단과 협력하여 사시, 안검내반(눈썹찔림증), 백내장, 녹내장, 망막질환, 시력 이상 등 안과 질환으로 치료비 지원이 필요한 취약계층 아동·청소년 환자들을 대상으로 치료 관련 검사비와 수술비를 지원합니다. ",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=BOK00000992&wlfareInfoReldBztpCd=03,삼성디스플레이(주),,, ,,20250728,20260727,진행중,신체건강,"다문화·탈북민,한부모·조손,장애인,저소득","청소년,아동",,아동지원,,,,,"삼성디스플레이에서 한국실명예방재단과 협력하여 사시, 안검내반(눈썹찔림증), 백내장, 녹내장, 망막질환, 시력 이상 등 안과 질환으로 치료비 지원이 필요한 취약계층 아동·청소년 환자들을 대상으로 치료 관련 검사비와 수술비를 지원합니다.",24세 이하 아동·청소년: 안과 수술이 필요한 건강보험료 120% 이하,"- 전국 안과 병·의원에서 진행되는 안과 의료비 본인부담금 전액
 - 예외항목: 대상자 선정 전 발생 의료비, 원외 발생 비용, 제증명서 발급비용 등","- 한국실명예방재단에 서류 제출
 - 삼성 무지개 홈페이지 > 접수 시스템(우상단) > 지원 신청하기","- 서류 접수⇒대상자 선정⇒수술 진행⇒의료비 지원(의료기관)
 ※지원 대상자는 심의를 통해 결정

- 제출 서류
 ① 눈 수술비 지원 신청서【서식 1호】
 ② 개인정보 수집 및 이용제공 동의서【서식 2호】
 ③ 수술할 병·의원의 안과 진단서 또는 진료소견서(어느 쪽 눈, 수술명 기재)
 ④-1 수급자: 수급자(차상위) 증명서·한부모가족 증명서 등
 ④-2 건강보험료 120% 이하: 건강보험 자격확인서, 건강보험료 납부확인서(최근 3개월)
 ⑤ 눈 수술 지원대상자 프로필 및 신청 사연【서식 3호】
 ⑥ 주민등록등본 
 ⑦ 자유로운 양식의 그림편지 원본(재단 주소로 원본 송부) 
 ⑧ 수술 전·후 얼굴 사진(재단 휴대전화 010-6564-4726으로 송부)
 *서식 1호~3호: 삼성 무지개 또는 한국실명예방재단 홈페이지에서 다운로드
 *제출서류①~⑥: 팩스(070-7966-6326) 또는 이메일(kfpb1004@hanmail.net)로 송부"
BOK00000945,[밀알복지재단] 2025년 국내지원사업,밀알복지재단 국내지원사업은 경제적 어려움으로 수술 및 치료를 받을 수 없는 장애인 가정과 긴급한 위기상황에 놓인 저소득 가정이 위기를 극복하고 자립할 수 있도록 지원합니다.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=BOK00000945&wlfareInfoReldBztpCd=03,사회복지법인 밀알복지재단,,, ,,20250101,20251231,진행중,"생활지원,주거,안전·위기,신체건강","다자녀,장애인,한부모·조손,저소득","노년,중장년,영유아,청년,아동,청소년",,생계지원,,,,,밀알복지재단 국내지원사업은 경제적 어려움으로 수술 및 치료를 받을 수 없는 장애인 가정과 긴급한 위기상황에 놓인 저소득 가정이 위기를 극복하고 자립할 수 있도록 지원합니다.,"기초생활수급자, 차상위계층, 저소득계층
(사업별 지원대상 상이하여 사업 안내문 참고 요망)","의료비, 주거비, 생계비 등
(사업별 지원내용 상이하여 사업 안내문 참고 요망)",E-mail 접수 (miral9135@miral.org),"- 밀알복지재단 지원사업 신청서 1부(붙임1, 2, 3)    
  - 증빙서류 (3개월 내 발행본)
  ① 주민등록등본 1부
  ② 소득증명서류 1부(수급자증명서, 차상위계층증명서, 건강보험료납부확인서 중 택 1)
     ※건강보험료납부확인서는 작년도 및 당해년도 납부확인서로 가구원 소득발생자 모두 제출(미납자는 ‘납부고지서’로 대체)
  ③ 주거증명서류 1부(임대차 계약서, 무료임대확인서 중 택 1)
      ※단, 자가 보유시 등기부등본 제출
  ④ 의료증명서류 1부(장애인 증명서, 의료진단서, 의사소견서 중 택 1)
  - 선택서류
  ⑤ 세대 구성원 중 질병 및 장애가 있을 경우 증빙서류제출(④ 의료증명서류)
  ⑥ 부채증명원 1부(부채가 있는 경우)"
BOK00000982,하나 파워 온 케어 미혼·한부모 가정 정서심리치료 지원,미혼.한부모 가정의 정서심리치료를 지원하여 이들의 심리적 안정과 자존감 회복을 도모하고 안정적인 가족관계 형성을 지원합니다. ,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=BOK00000982&wlfareInfoReldBztpCd=03,사회복지법인 대한사회복지회,,, ,,20250701,20251227,진행중,"정신건강,보호·돌봄","다문화·탈북민,한부모·조손,저소득","중장년,청년,아동",,건강·의료,,,,,미혼.한부모 가정의 정서심리치료를 지원하여 이들의 심리적 안정과 자존감 회복을 도모하고 안정적인 가족관계 형성을 지원합니다.,전국 미혼·한부모 가정 (다문화가정 및 북한이탈주민 포함),상담비 1인당 월 최대 32만원 지원,"제출서류를 한파일로 묶어서 첨부 후 이메일 제출
(apply@kws.or.kr)","공통서류 : 사업신청서, 개인정보활용제공동의서, 주민등록등본, 가족관계증명서, 한부모가족증명서 각 1부.
추가서류(해당자에 한함) : 기초생활수급자 증명서, 차상위계층 확인서, 지속적인 정서심리치료가 필요하다는 소견서, 이전 심리상담 기록지"
BOK00000987,학대피해아동 의료비지원사업,"대한사회복지회는 MBC라디오시대, 사회복지공동모금회와 함께 학대피해아동에게 트라우마 치료를 위한 맞춤형 의료서비스를 제공하여 아동의 조속한 회복과 건강한 성장을 돕고자 합니다. ",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=BOK00000987&wlfareInfoReldBztpCd=03,대한사회복지회,,, ,,20250512,20260228,진행중,"생활지원,보호·돌봄,신체건강,안전·위기","장애인,저소득","청소년,아동",,아동지원,,,,,"대한사회복지회는 MBC라디오시대, 사회복지공동모금회와 함께 학대피해아동에게 트라우마 치료를 위한 맞춤형 의료서비스를 제공하여 아동의 조속한 회복과 건강한 성장을 돕고자 합니다.",아동생활시설에 거주중인 만 18세 미만 학대피해아동(일반 요보호 아동 지원불가),아동생활시설에 거주중인 학대피해아동에게 맞춤형 의료비지원,이메일 접수 apply@kws.or.kr 신청서류 일체 발송,"- (필수)사업신청 공문
  - (필수)사업신청서 1부.
  - (필수)신청명단(엑셀파일) 1부. 
  - (필수)개인정보동의서 1부. 
  - (필수)입소확인서(재원증명서) 1부. 
  - (필수)의사소견서
  - (필수)사업자등록증 또는 고유번호증 사본 1부. 
  - (선택)학대피해아동증빙서류 1부.
   *학대피해아동쉼터의 경우, 학대피해아동증빙서류 시설신고증으로 대체가능
   **일반아동양육시설의 경우 예시와 같이 학대피해 관련 증빙서류 제출 
    예) 경찰서, 지자체, 아동보호전문기관 에서 발급받은 입소의뢰서, 학대피해아동 보호사실확인서, 
        아동학대 경찰조사결과서 등"
BOK00000981,한부모가정 심리상담 지원사업 '네 마음을 보여줘' ,한부모가정의 정서적 안정과 자녀의 심리·사회성 발달을 위한 상담을 지원하여 사회적 고립을 해소하고 지지망을 형성하고자 합니다.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=BOK00000981&wlfareInfoReldBztpCd=03,홀트아동복지회,,, ,,20250701,20260131,진행중,정신건강,한부모·조손,"청년,아동,청소년",,생계지원,,,,,한부모가정의 정서적 안정과 자녀의 심리·사회성 발달을 위한 상담을 지원하여 사회적 고립을 해소하고 지지망을 형성하고자 합니다.,"【공통】 ① 18세 미만의 아동을 양육중인 한부모가정
           ② 사실혼 관계가 아닌 한부모가정 
           ③ 기준중위소득 150% 이하인 자 
           ④ 대상자 선정 후 2개월 내 사업 참여가 가능한 자
 【우대】① 최근 6개월 내 심리지원바우처사업이 종결된 한부모가정
           ② 상담 이력이 있으나 중단되어 지속 지원이 필요한 한부모가정
           ③ 미혼한부모가정","1. 심리상담 지원 (1가정 당 최대 100만원)
   ①심리상담지원(성인, 아동, 청소년 상담)
   ②심리정서 지원서비스 (놀이, 미술, 언어치료 등)

2. 마음챙김 워크숍
   사회정서역량강화를 위한 마음챙김 프로그램 1회","기관신청(개인신청 불가)
이메일 제출 (family@holt.or.kr)

-신청기간 : 2025. 6. 30(월) ~ 7.19(토)
-선정발표 : 2025. 7.25(금)/ 선정기관에 개별 연락","1. 기관 공문
2. 신청서(신청자 작성용) 1부
3. 대상자 추천서(사례관리기관 작성용) 1부
4. 심리상담소견서 또는 확인서 1부
5. 주민등록등본 1부 (주민번호 앞자리만 표기)
6. 혼인관계증명서(상세) 1부
7. 소득증빙자료 1부 (수급자증명서, 차상위 복지급여대상자 관련 증명서, 한부모가정증명서, 건강보험료 납입 증명서 중 1부)
   *3개월 이내 발급한 서류만 인정됩니다."
BOK00000979,2025년도 환경재단 소아천식 지원사업(9차년도),"아이들의 일상생활과 삶의 질에 큰 영향을 주는 질환이자 발병 초기에 관리하는 것이 매우 중요한 '천식' 아이들이 건강하고 행복하게 자라날 수 있도록 서울시 거주 저소득층 가정의 천식 환아를 위한 치료비, 생활환경개선 지원 사업입니다.",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=BOK00000979&wlfareInfoReldBztpCd=03,재단법인 환경재단,,, ,,20250620,20260630,진행중,신체건강,저소득,"아동,영유아",,건강·의료,,,,,"아이들의 일상생활과 삶의 질에 큰 영향을 주는 질환이자 발병 초기에 관리하는 것이 매우 중요한 '천식' 아이들이 건강하고 행복하게 자라날 수 있도록 서울시 거주 저소득층 가정의 천식 환아를 위한 치료비, 생활환경개선 지원 사업입니다.","1) 서울시에 거주하며 천식진단(J45-46)을 받은 2013~2025년생 어린이
2) 소득요건
     - 1순위 : 기초생활수급자 또는 차상위계층
     - 2순위 : 중위소득 80% 이내 가구 (2025년도 기준)","1) 지원 내용 
  - 치료 지원 : 치료비 및 의료물품 지원
  - 생활환경개선 : 가정 맞춤형 물품 및 서비스 지원
  - 역량강화 : 질환 관리 및 예방 지원(운동지원금, 가족 자연캠프)

2) 지원 기간 : 2025. 8월 ~ 2026. 6월(총 11개월)","1) 지원신청 : 필요 서류 원본 우편접수 또는 방문접수
2) 신청기간 : 2025. 6. 20(금) ~ 7. 18(금)
3) 제출처 : 서울특별시 중구 을지로 16, 프레지던트호텔 7층 환경재단 소아천식지원팀 앞
  ※ 우편물은 7월 18일(금) 도착분까지 인정
4) 문의처 : 환경재단 소아천식지원팀 02-2011-4316","1) 지원신청서 및 설문지 각 1부 (지정양식, 첨부 파일 참고)
2) 천식진단서 또는 관련 질환의 질병명, 질병코드가 기재된 의료기관 발급서류 1부
3) 경제적 요건 증빙 서류
  - 공통: 가족관계증명서, 주민등록등본
  - 1순위 : 국민기초생활수급자 증명서 또는 차상위 본인부담 경감대상 증명서
  - 2순위 : 건강보험 납입증명서, 한부모가족증명서"
BOK00000978,미혼한부모 양육물품지원사업 '365베이비케어키트',"아동의 건강한 성장을 돕고, 미혼 한부모 가정의 경제적 부담을 완화하여 사회적 보호체계를 강화하고자 미혼한부모의 영유아 자녀에게 양육물품을 지원합니다.",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=BOK00000978&wlfareInfoReldBztpCd=03,홀트아동복지회,,, ,,20250623,20251130,진행중,"생활지원,신체건강,보육","한부모·조손,저소득",영유아,"13~18세,6~12세,19~39세,0~5세",아동지원,,,,,"아동의 건강한 성장을 돕고, 미혼 한부모 가정의 경제적 부담을 완화하여 사회적 보호체계를 강화하고자 미혼한부모의 영유아 자녀에게 양육물품을 지원합니다.",0~36개월 이하의 자녀를 양육중인 기준중위소득 100% 이하의 미혼한부모가정,"▪ 지원물품
A세트 
- 대상: 0~12개월 영유아 20명
- 지원물품: 1회차(8월) 분유, 기저귀, 의류 
                 2회차(9월) 분유
                 3회차(10월) 분유, 기저귀
                 4회차(11월) 분유
B세트 
- 대상: 12~36개월 영유아 50명
- 지원물품: 1회차(8월) 이유식, 기저귀, 의류 
                 2회차(9월) 이유식
                 3회차(10월) 이유식, 기저귀
                 4회차(11월) 이유식","홀트아동복지회 홈페이지［참여/신청］→ [지원사업] → [미혼한부모 영·유아자녀 양육물품지원사업 '365베이비케어키트' 참여자 모집 클릭] → [신청하기] 클릭하여 신청서 제출

- 신청기간 : 2025. 6. 23(월) ~ 7. 13(일)
- 선정발표 : 2025. 7. 18(금)/ 선정자 개별 연락
 * 서비스 지원기간 : 2025. 8월 ~ 11월(매월 1회)","가. 주민등록등본 1부
나. 혼인관계증명서_상세 1부
다. 소득증빙서류 1부 
    (수급자증명서, 차상위복지사업 대상자 증명서, 한부모가족증명서, 건강보험료 납부확인서 중 1부)
라. 서류발급기준 : 2025. 5. 1 이후 발급본
마. 주민등록번호 앞자리만 표기하여 발급할 것"
